유학국,'77,'78,'79,'80,'81,'82,'83,'84,'85,'86,'87,'88,'89,'90,'91,'92,'93,'94,'95,'96,'97,'98,'99,'00,'01,'02,'03,'04,'05,'06,'07,'08,'09,'10,'11,'12,'13,'14,'15,'16,'17,'18,'19
그리스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,
남아프리카공화국,,,,,,,,,,,,,,,,,,,,,,,, 2 , 1 , 1 ,,,, 1 , 2 ,,,, 1 , 1 ,,, 1 ,,, 1 , 1 
네덜란드,,,,,,, 1 ,,,,,,,,,,,,,,, 2 ,,,,,,,,, 1 , 2 , 3 , 1 ,, 2 , 1 , 2 , 1 , 1 , 2 , 2 , 2 
노르웨이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2 ,,,, 1 , 1 ,, 1 ,, 1 , 1 ,,
뉴질랜드,,,,,,,,,,,,,,,,,,,,,,,, 1 , 2 ,,,,,,,,,, 1 ,,, 1 ,,,,,
대만,,,,,,,,,,,, 2 , 2 ,,,,,,,,,,,,,,,,,,,,,,,,, 1 , 1 ,,,,
덴마크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,, 1 
독일, 1 , 6 , 5 ,,, 1 , 1 ,, 1 , 1 ,, 2 , 3 , 2 , 1 , 2 , 2 , 1 , 2 ,, 3 , 3 ,,,,,, 2 , 1 , 3 ,, 2 , 1 ,, 2 , 2 , 2 , 1 , 2 , 2 , 1 , 4 , 2 
러시아,,,,,,,,,,,,,,, 3 , 4 , 2 , 2 , 2 , 1 , 2 , 1 , 2 , 2 , 2 , 2 , 1 ,, 3 , 2 , 3 , 6 , 3 , 3 , 3 , 2 , 2 , 2 , 5 ,, 1 ,,
레바논,,,,,,,,,,,,,,,,,,,,,,, 1 , 1 , 1 ,,,,,, 2 ,,,,,,,,,,,,
루마니아,,,,,,,,,,,,,,, 2 ,, 1 ,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,
말레이지아,,,,,,,,,,,,, 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
멕시코,,,,,,,,,,,,,,,,,, 1 ,,,, 1 ,,,,,, 1 , 1 , 1 , 3 , 1 , 1 , 1 , 2 , 1 , 1 , 1 , 1 , 1 ,, 1 ,
몽골,,,,,,,,,,,,,,,,,,,,,, 1 , 1 ,,,,,,,,,,,,,,, 1 ,,,,,
미국, 10 , 43 , 80 , 49 , 47 , 96 , 94 , 64 , 82 , 83 , 78 , 99 , 89 , 80 , 72 , 36 , 36 , 43 , 42 , 20 , 32 , 12 , 7 , 17 , 18 , 15 , 7 , 11 , 15 , 12 , 9 , 5 , 16 , 34 , 14 , 11 , 17 , 29 , 36 , 8 , 16 , 28 , 28 
베트남,,,,,,,,,,,,,,,,, 1 ,,, 1 , 1 , 1 ,,,,,,,,,,, 1 ,,,,,, 1 , 1 ,, 1 ,
벨기에,,,,,,,,,,,,,,,,,,,,,,, 1 , 1 ,, 1 ,,,,,,,,,,,,, 1 ,, 1 ,,
불가리아,,,,,,,,,,,,, 1 , 1 , 1 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
브라질,,,,,,,,,,,,, 2 ,,,,,,,, 1 , 1 ,,,,,,, 1 ,,,,,,, 1 ,,,,,,,
세르비아,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스웨덴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,, 1 , 2 ,,,, 1 , 2 ,, 2 ,,
스위스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2 ,, 1 ,, 1 , 3 ,,, 2 , 1 
스페인,,,,,,, 2 ,, 2 ,,,, 2 ,,,,,,,,,,,,,,,,,,,,, 1 , 1 ,,,, 1 ,,,,
싱가포르,,,,,,,,,,,,,,,,,,,,,, 1 ,,, 1 , 1 , 1 , 1 ,, 2 ,, 1 ,, 1 , 1 , 1 ,, 1 ,,, 1 ,, 1 
아랍에미레이트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,
아르헨티나,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,, 1 ,,,,,,
영국,,, 1 ,, 2 , 1 , 1 ,, 5 , 7 , 6 , 9 , 11 , 2 , 8 , 4 , 2 , 5 , 4 , 5 , 5 , 4 , 7 , 5 , 5 , 4 , 5 , 1 , 3 , 5 ,, 1 , 1 , 6 , 8 , 7 , 13 , 10 , 15 , 8 , 2 , 12 , 9 
오스트리아,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
